len,freq,logfreq
0,0,0
1,0,0
2,3121,3.494293769
3,204,2.309630167
4,404,2.606381365
5,299,2.475671188
6,186,2.269512944
7,115,2.06069784
8,91,1.959041392
9,61,1.785329835
10,49,1.69019608
11,44,1.643452676
12,30,1.477121255
13,37,1.568201724
14,39,1.591064607
15,28,1.447158031
16,18,1.255272505
17,9,0.954242509
18,7,0.84509804
19,7,0.84509804
20,14,1.146128036
21,6,0.77815125
22,7,0.84509804
23,4,0.602059991
24,2,0.301029996
25,0,0
26,5,0.698970004
27,8,0.903089987
28,2,0.301029996
29,2,0.301029996
30,1,0
31,0,0
32,2,0.301029996
33,0,0
34,1,0
35,1,0
36,3,0.477
37,2,0.301029996
38,1,0
39,0,0
40,2,0.301029996
41,2,0.301029996
42,0,0
43,1,0
44,0,0
45,0,0
46,1,0
47,0,0
48,0,0
49,0,0
50,1,0
51,0,0
52,0,0
53,0,0
54,0,0
55,0,0
56,0,0
57,0,0
58,0,0
59,1,0
60,0,0
61,0,0
62,0,0
63,0,0
64,0,0
65,1,0
66,0,0
67,0,0
68,0,0
69,1,0
70,1,0
71,0,0
72,0,0
73,0,0
74,0,0
75,0,0
76,0,0
77,0,0
78,1,0
79,0,0
80,0,0
81,0,0
82,0,0
83,0,0
84,0,0
85,0,0
86,0,0
87,0,0
88,0,0
89,0,0
90,0,0
91,0,0
92,0,0
93,0,0
94,0,0
95,0,0
96,0,0
97,0,0
98,0,0
99,1,0
100,0,0
101,0,0
102,0,0
103,0,0
104,0,0
105,0,0
106,0,0
107,0,0
108,0,0
109,0,0
110,0,0
111,0,0
112,0,0
113,0,0
114,0,0
115,0,0
116,0,0
117,0,0
118,0,0
119,0,0
120,0,0
121,0,0
122,0,0
123,0,0
124,0,0
125,0,0
126,0,0
127,0,0
128,1,0
